feature,importance_mean,importance_std
estado_embalagem,0.3053333333333333,0.014391355429948616
tampa_correta,0.2533333333333333,0.011352924243950943
vedacao_adequada,0.24799999999999994,0.018451136670797386
aspecto_visual,0.1823333333333333,0.02226357263932871
manipulador_higiene,0.172,0.011944315244779296
local_envase,0.11866666666666661,0.015070206073943082
tipo_embalagem,0.10333333333333328,0.011450376024878453
tempo_exposicao_ar,0.05133333333333333,0.013920408678547413
registro_lote,0.00466666666666663,0.0030550504633038815
data_validade_legivel,0.00366666666666664,0.0031446603773521912
cristalizacao,0.00366666666666664,0.0034801021696368346
umidade_mel,0.0033333333333332993,0.002581988897471585
historico_reclamacoes,0.0033333333333332993,0.0042163702135578395
lote_identificado,0.0009999999999999898,0.0015275252316519312
rotulo_presente,0.0009999999999999675,0.0030000000000000014
informacoes_completas,-4.4408920985006264e-17,0.003333333333333344
temperatura_envase,-0.0016666666666667052,0.0016666666666667052
treinamento_equipe,-0.0026666666666667173,0.0029059326290271294
uso_epi,-0.003000000000000036,0.0031446603773522116
higienizacao_previa,-0.005333333333333379,0.0026666666666666614
