feature,importance_mean,importance_std
informacoes_completas,0.2809999999999999,0.02683488608343831
rotulo_presente,0.2553333333333333,0.02587147721590967
vedacao_adequada,0.25133333333333324,0.014391355429948604
tipo_embalagem,0.246,0.02484619353811228
data_validade_legivel,0.19833333333333328,0.02034425935955616
lote_identificado,0.1963333333333333,0.025141819964177425
higienizacao_previa,0.1716666666666666,0.012845232578665117
registro_lote,0.17033333333333328,0.013860415257527852
local_envase,0.0053333333333332785,0.002211083193570244
uso_epi,0.0019999999999999797,0.0026666666666666393
aspecto_visual,0.0016666666666666496,0.002236067977499767
historico_reclamacoes,0.0016666666666666496,0.0016666666666666496
temperatura_envase,0.0016666666666666496,0.0016666666666666496
tampa_correta,0.0013333333333333196,0.0016329931618554352
cristalizacao,0.0009999999999999898,0.0015275252316519312
estado_embalagem,0.0,0.0
umidade_mel,0.0,0.0
manipulador_higiene,0.0,0.0
treinamento_equipe,0.0,0.0
tempo_exposicao_ar,0.0,0.0
