feature,importance_mean,importance_std
umidade_lote_pct,0.4863139714750145,0.03617359723430893
tempo_desde_coleta_h,0.43740865085390296,0.03520573336977227
temperatura_recebimento_c,0.3183752878577054,0.022325672910205808
sujeira_visivel_externa,0.02140373235331895,0.009066727645261185
lote_identificado,0.013364592697970534,0.007944602992808898
integridade_containers,0.01055137337034735,0.0059251855250838864
documentacao_lote_ok,0.005290011492776714,0.005645836140954583
fornecedor_auditado,0.004664124424949556,0.005723840001072056
lacre_viagem_integro,0.0019577427041640007,0.00327251516158681
laudo_residuos_agrotoxicos,0.0004925593326945088,0.00775668330875267
transporte_segregado_de_quimicos,-0.0004601226993865004,0.0018212181115088723
